Date,REAL_1,REAL_1/SERV_1,VALOR_1,VALOR_1/SERV_1,REAL_2,REAL_2/SERV_2,VALOR_2,VALOR_2/SERV_2,REAL_3,REAL_3/SERV_3,VALOR_3,VALOR_3/SERV_3,REAL_4,REAL_4/SERV_4,VALOR_4,VALOR_4/SERV_4,REAL_5,REAL_5/SERV_5,VALOR_5,VALOR_5/SERV_5,REAL_6,REAL_6/SERV_6,VALOR_6,VALOR_6/SERV_6,REAL_7,REAL_7/SERV_7,VALOR_7,VALOR_7/SERV_7,REAL_8,REAL_8/SERV_8,VALOR_8,VALOR_8/SERV_8,REAL_9,REAL_9/SERV_9,VALOR_9,VALOR_9/SERV_9,REAL_10,REAL_10/SERV_10,VALOR_10,VALOR_10/SERV_10,REAL_11,REAL_11/SERV_11,VALOR_11,VALOR_11/SERV_11,REAL_12,REAL_12/SERV_12,VALOR_12,VALOR_12/SERV_12,REAL_13,REAL_13/SERV_13,VALOR_13,VALOR_13/SERV_13,REAL_14,REAL_14/SERV_14,VALOR_14,VALOR_14/SERV_14,REAL_15,REAL_15/SERV_15,VALOR_15,VALOR_15/SERV_15,REAL_16,REAL_16/SERV_16,VALOR_16,VALOR_16/SERV_16,REAL_17,REAL_17/SERV_17,VALOR_17,VALOR_17/SERV_17,REAL_18,REAL_18/SERV_18,VALOR_18,VALOR_18/SERV_18,REAL_19,REAL_19/SERV_19,VALOR_19,VALOR_19/SERV_19,REAL_20,REAL_20/SERV_20,VALOR_20,VALOR_20/SERV_20,REAL_21,REAL_21/SERV_21,VALOR_21,VALOR_21/SERV_21,REAL_22,REAL_22/SERV_22,VALOR_22,VALOR_22/SERV_22,REAL_23,REAL_23/SERV_23,VALOR_23,VALOR_23/SERV_23,REAL_24,REAL_24/SERV_24,VALOR_24,VALOR_24/SERV_24,REAL_25,REAL_25/SERV_25,VALOR_25,VALOR_25/SERV_25,REAL_26,REAL_26/SERV_26,VALOR_26,VALOR_26/SERV_26,REAL_27,REAL_27/SERV_27,VALOR_27,VALOR_27/SERV_27,REAL_28,REAL_28/SERV_28,VALOR_28,VALOR_28/SERV_28,REAL_29,REAL_29/SERV_29,VALOR_29,VALOR_29/SERV_29,REAL_30,REAL_30/SERV_30,VALOR_30,VALOR_30/SERV_30,REAL_31,REAL_31/SERV_31,VALOR_31,VALOR_31/SERV_31,REAL_32,REAL_32/SERV_32,VALOR_32,VALOR_32/SERV_32,REAL_33,REAL_33/SERV_33,VALOR_33,VALOR_33/SERV_33,REAL_32.1,REAL_34/SERV_34,VALOR_34,VALOR_34/SERV_34,REAL_34,REAL_35/SERV_35,VALOR_35,VALOR_35/SERV_35,REAL_35,REAL_36,REAL_36/SERV_36,VALOR_36,VALOR_36/SERV_36,REAL_37,REAL_37/SERV_37,VALOR_37,VALOR_37/SERV_37,REAL_38,REAL_38/SERV_38,VALOR_38,VALOR_38/SERV_38,REAL_39,REAL_39/SERV_39,VALOR_39,VALOR_39/SERV_39,REAL_40,REAL_40/SERV_40,VALOR_40,VALOR_40/SERV_40,REAL_41,REAL_41/SERV_41,VALOR_41,VALOR_41/SERV_41,REAL_42,REAL_42/SERV_42,VALOR_42,VALOR_42/SERV_42,REAL_43,REAL_43/SERV_43,VALOR_43,VALOR_43/SERV_43,REAL_44,REAL_44/SERV_44,VALOR_44,VALOR_44/SERV_44,REAL_45,REAL_45/SERV_45,VALOR_45,VALOR_45/SERV_45,REAL_46,REAL_46/SERV_46,VALOR_46,VALOR_46/SERV_46,REAL_47,REAL_47/SERV_47,VALOR_47,VALOR_47/SERV_47,REAL_48,REAL_48/SERV_48,VALOR_48,VALOR_48/SERV_48,REAL_49,REAL_49/SERV_49,VALOR_49,VALOR_49/SERV_49,REAL_50,REAL_50/SERV_50,VALOR_50,VALOR_50/SERV_50,REAL_51,REAL_51/SERV_51,VALOR_51,VALOR_51/SERV_51,REAL_52,REAL_52/SERV_52,VALOR_52,VALOR_52/SERV_52,REAL_53,REAL_53/SERV_53,VALOR_53,VALOR_53/SERV_53,REAL_54,REAL_54/SERV_54,VALOR_54,VALOR_54/SERV_54,REAL_55,REAL_55/SERV_55,VALOR_55,VALOR_55/SERV_55,REAL_56,REAL_56/SERV_56,VALOR_56,VALOR_56/SERV_56,REAL_57,REAL_57/SERV_57,VALOR_57,VALOR_57/SERV_57,REAL_58,REAL_58/SERV_58,VALOR_58,VALOR_58/SERV_58,REAL_59,REAL_59/SERV_59,VALOR_59,VALOR_59/SERV_59,REAL_60,REAL_60/SERV_60,VALOR_60,VALOR_60/SERV_60,REAL_61,REAL_61/SERV_61,VALOR_61,VALOR_61/SERV_61,REAL_62,REAL_62/SERV_62,VALOR_62,VALOR_62/SERV_62,REAL_63,REAL_63/SERV_63,VALOR_63,VALOR_63/SERV_63,REAL_64,REAL_64/SERV_64,VALOR_64,VALOR_64/SERV_64,REAL_65,REAL_65/SERV_65,VALOR_65,VALOR_65/SERV_65,REAL_66,REAL_66/SERV_66,VALOR_66,VALOR_66/SERV_66
2003-01-01,18.65,0.07,31.95,0.13,,,,,11.0,0.04,18.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-01,5.9,0.02,5.9,0.02,,,,,7.4,0.02,33.8,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-03-01,0.0,0.0,12.0,0.05,,,,,0.0,0.0,56.7,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-01,0.0,0.0,10.6,0.04,,,,,0.0,0.0,5.9,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-01,0.0,0.0,5.9,0.02,28.2,1.07,45.2,1.72,0.0,0.0,12.7,0.04,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-01,3.9,0.02,8.2,0.03,6.9,0.08,9.8,0.11,0.0,0.0,10.4,0.03,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-01,0.0,0.0,24.9,0.1,6.9,0.08,15.4,0.18,8.5,0.03,8.5,0.03,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-01,0.0,0.0,13.8,0.06,0.0,0.0,0.0,0.0,0.0,0.0,9.7,0.03,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-01,0.0,0.0,1.5,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,0.05,0.0,0.0,20.4,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0.01,4.95,0.02,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,0.08,26.7,0.09,0.0,0.0,12.75,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-01,0.0,0.0,29.9,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-02-01,36.8,0.15,43.8,0.18,0.0,0.0,5.0,0.06,28.1,0.09,28.1,0.09,0.0,0.0,4.25,0.03,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-03-01,28.5,0.11,37.5,0.15,0.0,0.0,0.0,0.0,17.0,0.06,17.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-04-01,24.0,0.1,24.0,0.1,0.0,0.0,7.0,0.08,2.0,0.01,2.0,0.01,0.0,0.0,1.7,0.01,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-05-01,16.0,0.06,18.5,0.07,6.9,0.08,6.9,0.08,21.9,0.07,21.9,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,41.4,0.14,46.4,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-06-01,1.75,0.01,4.75,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.04,0.0,0.0,0.0,0.0,,,,,3.9,0.01,3.9,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-07-01,42.7,0.17,44.7,0.18,0.0,0.0,0.0,0.0,20.9,0.07,20.9,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3.0,0.01,3.0,0.01,56.0,0.14,56.0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
